Phone Call Transcript,Sentiment,Customer Name,Total Purchases,Phone,Customer Type,Date,Year
ألو، مساء الخير. مساء النور، حضرتك بتكلم خدمة عملاء شركة الاتصالات. إزاي أقدر أساعد حضرتك؟ أنا عندي مشكلة في الإنترنت. الخدمة بطيئة جدًا ومش بقدر أستخدمها زي الأول. متأسف جدًا على الإزعاج ده، يا فندم. ممكن أعرف الرقم اللي حضرتك مشترك بيه عشان أقدر أطلع على بياناتك الرقم هو 01012345678. شكرًا لحضرتك. دقيقة واحدة بس عشان أراجع بيانات الخط... طيب، واضح إن فيه بطء في الخدمة. أيوة، عملت كده بس مفيش أي فرق. تمام، خليني أعمل فحص من هنا وأشوف لو فيه أي أعطال أو صيانة في منطقتك... فعلاً، فيه بعض الصيانة اللي بتأثر على السرعة، ومن المتوقع إن الخدمة تتحسن خلال 24 آه، طيب دي هتستمر كتير؟ المفروض تخلص النهاردة بالليل أو بكرة الصبح، وبعدها السرعة هترجع لطبيعتها تمام، شكراً على التوضيح. هل في أي تعويض بخصوص الفترة اللي الخدمة كانت فيها بطيئة؟طبعاً، بعد انتهاء المشكلة حضرتك تقدر تتواصل معانا تاني، ونشوف التعويض المناسب ليك حسب سياسات الشركة. تمام، هتواصل معاكم بعد كده. شكرًا جدًا لمساعدتك. العفو يا فندم، لو في أي استفسار تاني، متترددش تتصل بينا. يومك سعيد! شكراً، مع السلامة. مع السلامة.,positive,Marilyn Mckay,17000.0,+20 010 1858501,Regular,10-2023,2023
nan,natural,John Berger,30000.0,+20 015 1148705,Loyal,05-2023,2023
ألو، مساء الخير. مساء النور، مع حضرتك احمد كيف أقدر أساعد حضرتك؟ مش بترد بسرعة، كنت منتظر كتير على الخط. متأسف جداً على التأخير يا فندم. حضرتك كان عندك استفسار أو مشكلة؟ أيوة، الإنترنت عندي بطيء جداً والشبكة بتقطع طول الوقت. ممكن أطلع على بيانات الخط بتاع حضرتك؟ أكيد، الرقم هو 0123456789. شكرًا لحضرتك. لحظة واحدة... أنا شايف إن فيه بطء فعلاً. طيب إمتى المشكلة هتتحل؟ نحاول نوفر الحل بأسرع وقت. لو ممكن تتابع معانا بكرة. مش هينفع، أنا محتاج الإنترنت دلوقتي. متفهم جداً يا فندم. هنحاول نسرّع عملية الحل.,negative,Joshua Nash,27000.0,+20 010 5139439,Loyal,10-2024,2024
ألو، مساء الخير. مساء النور يا فندم، مع حضرتك محمد أحد ممثلي خدمة العملاء كيف أقدر أساعدك؟ كنت عايز أستفسر عن الباقة الجديدة اللي الشركة نزلتها مؤخراً. طبعاً يا فندم، حضرتك معنا على الباقة القديمة حالياً؟ أيوة، بس عايز أعرف الفرق بينهم. الباقة الجديدة فيها إنترنت غير محدود ومكالمات دولية بخصم 50%. ده كويس جداً، وأقدر أحوّل عليها دلوقتي؟ أيوة، ممكن أغيرها ليك فوراً. تمام، شكراً جداً. العفو يا فندم، في أي وقت.,positive,Christina Castaneda,22000.0,+20 012 9668369,Loyal,02-2024,2024
"""ألو، مساء الخير. مساء النور، مع حضرتك زياد أحد ممثلي خدمة العملاء. إزاي أقدر أساعد حضرتك؟ أنا حاولت أتصل بالدعم الفني، لكن مفيش أي حد ردي. متأسف جدًا على الإزعاج ده، يا فندم. ممكن أعرف الرقم اللي حضرتك مشترك بيه؟ الرقم هو 01123456789. شكرًا لحضرتك. دقيقة واحدة بس عشان أراجع بيانات الخط... طيب، واضح إن هناك ضغط على خطوط الدعم. لكن ده مش عذر. أنا محتاج حل لمشكلة الاتصال عندي. أفهم قلقك، خليني أحقق في السبب... طبعًا، هحاول أرفع طلب دعم خاص بحضرتك. هل يمكنني الحصول على أي تحديث في أقرب وقت؟ طبعًا، هنبعتلك رسالة بمجرد أن نتأكد من الحل. شكرًا على المساعدة. العفو، إذا احتجت أي شيء، نحن هنا. يومك سعيد! شكراً، مع السلامة. مع السلامة.""",natural,Robert Daniels,27000.0,+20 015 7523582,New,08-2024,2024
"""ألو، مساء الخير. مساء النور، حضرتك بتكلم علي أحد ممثلي خدمة العملاء. إزاي أقدر أساعد حضرتك؟ عندي مشكلة كبيرة في الشبكة. الخدمة مش متوفرة في منطقتي نهائي. متأسف جدًا على الإزعاج ده، يا فندم. ممكن أعرف الرقم اللي حضرتك مشترك بيه؟ الرقم هو 01234567890. شكرًا لحضرتك. دقيقة واحدة بس عشان أراجع البيانات... طيب، فعلاً فيه مشكلة في الشبكة في منطقتك. قد إيه هتستمر المشكلة دي؟ المشكلة هتستمر لمدة يومين تقريبا، والفرق الفني بيشتغل عليها. هل فيه تعويض عن الفترة دي؟ بعد حل المشكلة، تقدر تتواصل معانا ونراجع التعويض المناسب. تمام، شكرًا على التوضيح. العفو يا فندم، لو في أي استفسار تاني، متترددش تتصل بينا. يومك سعيد! شكرًا، مع السلامة. مع السلامة.""",negative,James Perez DDS,3000.0,+20 015 2374351,Loyal,05-2022,2022
أنا بجد زهقت من الإنترنت عندي، بطيء جدًا الأيام دي ومش عارف أعمل شغلي! بقاله فترة كده وكل شوية أرجع أكلم خدمة العملاء. نتأسف على اللي حضرتك بتمر بيه، وفاهمين طبعًا إن ده مزعج. ياريت تقولي اسمك ورقم خطك والمنطقة اللي فيها المشكلة، وهنتصرف. أنا أحمد، رقمي 0123456789، ومن الدقي. بس الموضوع ده بقى شبه يومي، كل شوية بطيء أو بيقطع. مفيش حل جذري بقى؟! مفهوم والله، وبالفعل مشكلة زي دي مقلقة. هل السرعة بتبقى بطيئة طول اليوم ولا في أوقات معينة؟ أيوه، أغلب الوقت، خصوصًا بالليل. بتوصل إن الشبكة تقطع تمامًا! عملت إعادة تشغيل للراوتر كام مرة ومفيش فايدة. طيب، هنعمل بلاغ بقسم الدعم الفني دلوقتي حالاً علشان يراجعوا الخط ويشوفوا المشكلة بشكل شامل. ونقدر نتواصل مع حضرتك خلال ساعة ونتابع معاك. بنحاول نحل الموضوع بسرعة. بصراحة أنا زهقت من الكلام ده كل مرة، بقالنا شهور على الحال ده! أنا معتمد على الإنترنت في الشغل ومش عارف أكمل كده. معاك حق يا أستاذ أحمد، متأسفين على اللي حضرتك مريت بيه. هنرفع الأولوية بتاعت البلاغ لحضرتك وهنشوف لو في ضغط أو لو نقدر نرفع السرعة. هنكون معاك لحد ما نحل المشكلة بإذن الله. أرجوكم المرة دي بجد! أنا بجد تعبت من الموضوع. هنعمل كل اللي نقدر عليه علشان نحسن الخدمة لحضرتك. تابع معانا، ولو في أي حاجة تانيه هنبلغك فوراً.,negative,Albert Leonard,12000.0,+20 011 7399058,Loyal,08-2023,2023
"""أهلاً، أنا سعيد جدًا بالخدمة الجديدة منكم، سرعة الإنترنت بقت ممتازة!"" ""أهلاً بحضرتك، بنسعد جدًا بتقديرك، ونتمنى دايمًا تكون راضي عن خدماتنا."" ""بصراحة، الخدمة بقت أفضل من المتوقع، متشكرين جدًا.""",positive,Angela Cooper,1000.0,+20 011 7803703,Regular,08-2022,2022
"""ألو، كنت عاوز أتأكد لو في مشكلة عامة في الإنترنت لأنه قطع لفترة. ""أهلاً بحضرتك، فيه فعلاً شوية ضغط في الشبكة، لكن هنشتغل على حلها."" ""ماشي، شكراً على التوضيح.""",natural,Robin Cooley,38000.0,+20 015 5600689,New,12-2022,2022
"""أنا قدمت شكوى بخصوص الإنترنت ومافيش أي جديد. هل في حل قريب؟"" ""هنراجع مع الدعم الفني ونتابع الشكوى."" ""ياريت، بقالها فترة ومش لاقي تحسن.""",natural,Cody Moses,47000.0,+20 010 7118502,Regular,06-2022,2022
